index,date,open,high,low,close,volume
725,2021-09-09 20:55:00,1.1824,1.1826,1.1823,1.1826,0
726,2021-09-09 20:54:00,1.1823,1.1825,1.1821,1.1823,0
727,2021-09-09 20:53:00,1.1822,1.1824,1.1821,1.1822,0
728,2021-09-09 20:52:00,1.1824,1.1824,1.1822,1.1823,0
729,2021-09-09 20:51:00,1.1824,1.1824,1.1822,1.1822,0
730,2021-09-09 20:50:00,1.1824,1.1824,1.1822,1.1823,0
731,2021-09-09 20:49:00,1.1823,1.1825,1.1823,1.1823,0
732,2021-09-09 20:48:00,1.1824,1.1825,1.1822,1.1825,0
733,2021-09-09 20:47:00,1.1824,1.1825,1.1822,1.1824,0
734,2021-09-09 20:46:00,1.1825,1.1825,1.1823,1.1825,0
735,2021-09-09 20:45:00,1.1825,1.1825,1.1823,1.1825,0
736,2021-09-09 20:44:00,1.1824,1.1825,1.1823,1.1824,0
737,2021-09-09 20:43:00,1.1825,1.1825,1.1823,1.1824,0
738,2021-09-09 20:42:00,1.1825,1.1825,1.1823,1.1823,0
739,2021-09-09 20:41:00,1.1823,1.1825,1.1823,1.1825,0
740,2021-09-09 20:40:00,1.1823,1.1825,1.1822,1.1823,0
741,2021-09-09 20:39:00,1.1823,1.1824,1.1822,1.1823,0
742,2021-09-09 20:38:00,1.1823,1.1824,1.1822,1.1823,0
743,2021-09-09 20:37:00,1.1824,1.1824,1.1823,1.1824,0
744,2021-09-09 20:36:00,1.1825,1.1825,1.1823,1.1823,0
745,2021-09-09 20:35:00,1.1825,1.1825,1.1823,1.1825,0
746,2021-09-09 20:34:00,1.1825,1.1825,1.1823,1.1825,0
747,2021-09-09 20:33:00,1.1825,1.1825,1.1823,1.1825,0
748,2021-09-09 20:32:00,1.1825,1.1825,1.1823,1.1825,0
749,2021-09-09 20:31:00,1.1825,1.1825,1.1823,1.1825,0
750,2021-09-09 20:30:00,1.1825,1.1826,1.1823,1.1825,0
751,2021-09-09 20:29:00,1.1826,1.1826,1.1824,1.1825,0
